manufacturer,country_of_origin,id
samsung,India,b43dfc9f-2341-11ee-bbca-3c9c0f728f90
oneplus,India,b43dfca0-2341-11ee-98c7-3c9c0f728f90
oppo,India,b43dfca1-2341-11ee-8e8b-3c9c0f728f90
bhagwati products ltd. sp1-1 industrial area karoli tapukara extn. bhiwadi rajasthan india,India,b43dfca2-2341-11ee-b32c-3c9c0f728f90
sky cable,India,b43dfca3-2341-11ee-9fdf-3c9c0f728f90
xiaomi,India,b43dfca4-2341-11ee-bf6d-3c9c0f728f90
padget electronics private limited,India,b43dfca5-2341-11ee-841b-3c9c0f728f90
realme,India,b43dfca6-2341-11ee-a69e-3c9c0f728f90
hmd global,India,b43dfca7-2341-11ee-b899-3c9c0f728f90
vivo,India,b43dfca8-2341-11ee-a0bd-3c9c0f728f90
iqoo,India,b43dfca9-2341-11ee-a0e9-3c9c0f728f90
rising stars mobile india private limited,India,b43dfcaa-2341-11ee-8754-3c9c0f728f90
redmi,India,b43dfcab-2341-11ee-9194-3c9c0f728f90
gionee,China,b43dfcac-2341-11ee-ba62-3c9c0f728f90
g mobile,India,b43dfcad-2341-11ee-ab07-3c9c0f728f90
lg,India,b43dfcae-2341-11ee-97a1-3c9c0f728f90
oneplus,China,b43dfcaf-2341-11ee-bb83-3c9c0f728f90
google,India,b43dfcb0-2341-11ee-becd-3c9c0f728f90
panasonic,India,b43dfcb1-2341-11ee-baa4-3c9c0f728f90
motorola india pvt ltd,India,b43dfcb2-2341-11ee-ac3f-3c9c0f728f90
lava international,China,b43dfcb3-2341-11ee-b32d-3c9c0f728f90
s mobile devices private ltd,India,b43dfcb4-2341-11ee-b390-3c9c0f728f90
gionee,India,b43dfcb5-2341-11ee-bd0d-3c9c0f728f90
vivo,China,b43dfcb6-2341-11ee-8bbf-3c9c0f728f90
iqoo,China,b43dfcb7-2341-11ee-aa2b-3c9c0f728f90
oppo,China,b43dfcb8-2341-11ee-ac98-3c9c0f728f90
karbonn,India,b43dfcb9-2341-11ee-899e-3c9c0f728f90
micromax,India,b43dfcba-2341-11ee-a666-3c9c0f728f90
samsung,China,b43dfcbb-2341-11ee-8db9-3c9c0f728f90
g mobile,China,b43dfcbc-2341-11ee-a71e-3c9c0f728f90
redmi,China,b43dfcbd-2341-11ee-b9b2-3c9c0f728f90
maplin,India,b43dfcbe-2341-11ee-9a31-3c9c0f728f90
