price;rating;total_reviews;availability_status;product_dimensions;weight;number_special_features;key_company;key_battery_power;key_product
45900.0;4.2;4;Only 1 left in stock.;16.5 x 7.6 x 0.7 cm;167.0;35;b43dfc9f-2341-11ee-bbca-3c9c0f728f90;b44d0a01-2341-11ee-b396-3c9c0f728f90;b456f2d5-2341-11ee-ae4e-3c9c0f728f90
9490.0;4.3;47;In stock.;15 x 1 x 7.5 cm;161.0;2;b43dfca0-2341-11ee-98c7-3c9c0f728f90;b44d0a02-2341-11ee-b844-3c9c0f728f90;b456f2d6-2341-11ee-99d1-3c9c0f728f90
44000.0;4.2;327;In stock.;16.3 x 7.5 x 0.8 cm;196.0;4;b43dfca1-2341-11ee-8e8b-3c9c0f728f90;b44d0a03-2341-11ee-bcf4-3c9c0f728f90;b456f2d7-2341-11ee-8cca-3c9c0f728f90
21490.0;4.3;11236;In stock.;16.1 x 7.6 x 0.9 cm;175.0;7;b43dfca1-2341-11ee-8e8b-3c9c0f728f90;b44d0a04-2341-11ee-85a9-3c9c0f728f90;b456f2d8-2341-11ee-9841-3c9c0f728f90
39999.0;4.4;1238;In stock.;15.4 x 0.9 x 7.4 cm;199.0;12;b43dfca2-2341-11ee-b32c-3c9c0f728f90;b44d0a05-2341-11ee-b332-3c9c0f728f90;b456f2d9-2341-11ee-9bbc-3c9c0f728f90
9490.0;4.3;48;In stock.;0.9 x 7.6 x 16.4 cm;196.0;2;b43dfca3-2341-11ee-9fdf-3c9c0f728f90;b44d0a03-2341-11ee-bcf4-3c9c0f728f90;b456f2da-2341-11ee-880d-3c9c0f728f90
10999.0;4.3;9;Only 1 left in stock.;16.39 x 7.53 x 0.85 cm;193.0;13;b43dfca1-2341-11ee-8e8b-3c9c0f728f90;b44d0a06-2341-11ee-819c-3c9c0f728f90;b456f2db-2341-11ee-a504-3c9c0f728f90
775.0;4.3;15;In stock.;16.2 x 1 x 7.7 cm;141.75;5;b43dfca1-2341-11ee-8e8b-3c9c0f728f90;b44d0a07-2341-11ee-ad63-3c9c0f728f90;b456f2dc-2341-11ee-b5c6-3c9c0f728f90
41990.0;2.0;4489;Only 1 left in stock.;16.6 x 7.6 x 0.8 cm;0.37;4;b43dfc9f-2341-11ee-bbca-3c9c0f728f90;b44d0a08-2341-11ee-87f0-3c9c0f728f90;b456f2dd-2341-11ee-a9e6-3c9c0f728f90
9999.0;2.5;13;In stock.;16 x 0.7 x 7.5 cm;840.0;2;b43dfca4-2341-11ee-bf6d-3c9c0f728f90;b44d0a09-2341-11ee-9140-3c9c0f728f90;b456f2de-2341-11ee-9a1a-3c9c0f728f90
7299.0;4.3;46;Only 1 left in stock.;16.5 x 7.6 x 0.7 cm;180.0;11;b43dfc9f-2341-11ee-bbca-3c9c0f728f90;b44d0a05-2341-11ee-b332-3c9c0f728f90;b456f2df-2341-11ee-a52a-3c9c0f728f90
36499.0;3.3;5264;In stock.;15.9 x 0.8 x 7.6 cm;194.0;2;b43dfca5-2341-11ee-841b-3c9c0f728f90;b44d0a05-2341-11ee-b332-3c9c0f728f90;b456f2e0-2341-11ee-894c-3c9c0f728f90
8999.0;4.0;4;In stock.;0.8 x 7.4 x 16.1 cm;69.0;6;b43dfca6-2341-11ee-a69e-3c9c0f728f90;b44d0a03-2341-11ee-bcf4-3c9c0f728f90;b456f2e1-2341-11ee-99b3-3c9c0f728f90
6999.0;3.1;3814;Only 1 left in stock.;16.2 x 1 x 7.7 cm;196.0;5;b43dfc9f-2341-11ee-bbca-3c9c0f728f90;b44d0a0a-2341-11ee-9eb2-3c9c0f728f90;b456f2e2-2341-11ee-aa9e-3c9c0f728f90
19990.0;3.7;402;In stock.;15.8 x 8.2 x 5.5 cm;209.0;12;b43dfca7-2341-11ee-b899-3c9c0f728f90;b44d0a0b-2341-11ee-bcd5-3c9c0f728f90;b456f2e3-2341-11ee-8583-3c9c0f728f90
41999.0;4.1;35;In stock.;16.6 x 7.6 x 0.9 cm;199.0;4;b43dfca8-2341-11ee-a0bd-3c9c0f728f90;b44d0a0c-2341-11ee-a8e3-3c9c0f728f90;b456f2e4-2341-11ee-a0d5-3c9c0f728f90
1329.0;4.1;52867;In stock on July 28 2021.;16 x 0.8 x 7.4 cm;197.0;5;b43dfca1-2341-11ee-8e8b-3c9c0f728f90;b44d0a0a-2341-11ee-9eb2-3c9c0f728f90;b456f2e5-2341-11ee-afe4-3c9c0f728f90
42299.0;4.0;77740;In stock.;16.5 x 7.6 x 1 cm;141.0;2;b43dfc9f-2341-11ee-bbca-3c9c0f728f90;b44d0a0d-2341-11ee-943a-3c9c0f728f90;b456f2e6-2341-11ee-8b38-3c9c0f728f90
42299.0;4.2;8;In stock.;16 x 0.7 x 7.5 cm;215.0;4;b43dfca9-2341-11ee-a0e9-3c9c0f728f90;b44d0a0a-2341-11ee-9eb2-3c9c0f728f90;b456f2e7-2341-11ee-bbf5-3c9c0f728f90
10490.0;5.0;1396;In stock.;16.5 x 0.9 x 7.4 cm;199.0;5;b43dfca1-2341-11ee-8e8b-3c9c0f728f90;b44d0a0e-2341-11ee-b7d0-3c9c0f728f90;b456f2e8-2341-11ee-8cf0-3c9c0f728f90
14999.0;4.2;392;In stock.;16.3 x 0.9 x 7.8 cm;450.0;5;b43dfca9-2341-11ee-a0e9-3c9c0f728f90;b44d0a0f-2341-11ee-82d9-3c9c0f728f90;b456f2e9-2341-11ee-b047-3c9c0f728f90
6999.0;4.2;2103;In stock on August 28 2021.;15.9 x 0.8 x 7.6 cm;196.0;13;b43dfcaa-2341-11ee-8754-3c9c0f728f90;b44d0a03-2341-11ee-bcf4-3c9c0f728f90;b456f2ea-2341-11ee-8f24-3c9c0f728f90
7699.0;3.4;952;In stock.;16.39 x 7.53 x 0.85 cm;196.0;5;b43dfcab-2341-11ee-9194-3c9c0f728f90;b44d0a10-2341-11ee-ba5d-3c9c0f728f90;b456f2eb-2341-11ee-80d1-3c9c0f728f90
9998.0;4.3;1238;Only 2 left in stock.;18.5 x 9.91 x 4.83 cm;199.0;1;b43dfca8-2341-11ee-a0bd-3c9c0f728f90;b44d0a10-2341-11ee-ba5d-3c9c0f728f90;b456f2ec-2341-11ee-b2c5-3c9c0f728f90
14900.0;4.2;18;In stock.;16 x 0.8 x 7.5 cm;215.0;13;b43dfca5-2341-11ee-841b-3c9c0f728f90;b44d0a08-2341-11ee-87f0-3c9c0f728f90;b456f2ed-2341-11ee-8ef0-3c9c0f728f90
22990.0;4.3;21078;In stock.;16.2 x 1 x 7.7 cm;196.0;16;b43dfca1-2341-11ee-8e8b-3c9c0f728f90;b44d0a11-2341-11ee-b3a5-3c9c0f728f90;b456f2ee-2341-11ee-aae5-3c9c0f728f90
