product_dimensions,product_dimension_length,product_dimension_width,product_dimension_height
16.5 x 7.6 x 0.7 cm,16.5,7.6,0.7
15 x 1 x 7.5 cm,15,1,7.5
16.3 x 7.5 x 0.8 cm,16.3,7.5,0.8
16.1 x 7.6 x 0.9 cm,16.1,7.6,0.9
15.4 x 0.9 x 7.4 cm,15.4,0.9,7.4
0.9 x 7.6 x 16.4 cm,0.9,7.6,16.4
16.39 x 7.53 x 0.85 cm,16.39,7.53,0.85
16.2 x 1 x 7.7 cm,16.2,1,7.7
16.6 x 7.6 x 0.8 cm,16.6,7.6,0.8
16 x 0.7 x 7.5 cm,16,0.7,7.5
15.9 x 0.8 x 7.6 cm,15.9,0.8,7.6
0.8 x 7.4 x 16.1 cm,0.8,7.4,16.1
15.8 x 8.2 x 5.5 cm,15.8,8.2,5.5
16.6 x 7.6 x 0.9 cm,16.6,7.6,0.9
16 x 0.8 x 7.4 cm,16,0.8,7.4
16.5 x 7.6 x 1 cm,16.5,7.6,1
16.5 x 0.9 x 7.4 cm,16.5,0.9,7.4
16.3 x 0.9 x 7.8 cm,16.3,0.9,7.8
18.5 x 9.91 x 4.83 cm,18.5,9.91,4.83
16 x 0.8 x 7.5 cm,16,0.8,7.5
0.9 x 7.4 x 15.9 cm,0.9,7.4,15.9
15.9 x 0.8 x 7.4 cm,15.9,0.8,7.4
16.5 x 0.9 x 7.6 cm,16.5,0.9,7.6
15.85 x 7.33 x 0.84 cm,15.85,7.33,0.84
16.5 x 0.8 x 7.5 cm,16.5,0.8,7.5
16.1 x 0.9 x 7.7 cm,16.1,0.9,7.7
16.37 x 0.78 x 7.64 cm,16.37,0.78,7.64
16.54 x 7.59 x 0.92 cm,16.54,7.59,0.92
15.4 x 0.7 x 7.4 cm,15.4,0.7,7.4
16.1 x 0.9 x 7.6 cm,16.1,0.9,7.6
16.3 x 7.6 x 0.85 cm,16.3,7.6,0.85
17.2 x 0.9 x 7.8 cm,17.2,0.9,7.8
0.8 x 7.4 x 15.9 cm,0.8,7.4,15.9
16.4 x 0.8 x 7.6 cm,16.4,0.8,7.6
16 x 7.4 x 0.7 cm,16,7.4,0.7
16.5 x 7.6 x 0.9 cm,16.5,7.6,0.9
16.52 x 7.57 x 0.92 cm,16.52,7.57,0.92
16.2 x 7.5 x 0.9 cm,16.2,7.5,0.9
16.4 x 7.6 x 0.8 cm,16.4,7.6,0.8
16.5 x 0.9 x 7.7 cm,16.5,0.9,7.7
15.6 x 0.9 x 7.5 cm,15.6,0.9,7.5
16.05 x 0.83 x 7.45 cm,16.05,0.83,7.45
15.7 x 0.8 x 1.5 cm,15.7,0.8,1.5
16.4 x 0.9 x 7.6 cm,16.4,0.9,7.6
0.84 x 7.45 x 15.98 cm,0.84,7.45,15.98
16.3 x 7.6 x 1 cm,16.3,7.6,1
16 x 0.8 x 7.3 cm,16,0.8,7.3
17.9 x 9.3 x 6.2 cm,17.9,9.3,6.2
14.4 x 7.6 x 0.82 cm,14.4,7.6,0.82
15.8 x 0.9 x 7.5 cm,15.8,0.9,7.5
16.1 x 7.4 x 0.7 cm,16.1,7.4,0.7
16.1 x 0.8 x 7.4 cm,16.1,0.8,7.4
17.78 x 7.62 x 6.35 cm,17.78,7.62,6.35
16.4 x 0.8 x 7.5 cm,16.4,0.8,7.5
14.5 x 7.4 x 1 cm,14.5,7.4,1
16.6 x 0.9 x 7.7 cm,16.6,0.9,7.7
9 x 6 x 4 cm,9,6,4
11.4 x 4.9 x 1.4 cm,11.4,4.9,1.4
16 x 7.3 x 0.8 cm,16,7.3,0.8
16.3 x 0.9 x 7.5 cm,16.3,0.9,7.5
15.9 x 0.9 x 7.4 cm,15.9,0.9,7.4
8 x 4 x 6 cm,8,4,6
16.4 x 0.9 x 7.5 cm,16.4,0.9,7.5
18 x 9.2 x 6.1 cm,18,9.2,6.1
7 x 14 x 1 cm,7,14,1
14.48 x 6.86 x 0.76 cm,14.48,6.86,0.76
16 x 7.5 x 0.7 cm,16,7.5,0.7
7.5 x 0.8 x 16.4 cm,7.5,0.8,16.4
16.4 x 7.5 x 0.8 cm,16.4,7.5,0.8
16.5 x 0.8 x 7.6 cm,16.5,0.8,7.6
15.6 x 7.3 x 1 cm,15.6,7.3,1
16.37 x 0.78 x 7.68 cm,16.37,0.78,7.68
17.9 x 9.3 x 6.3 cm,17.9,9.3,6.3
16.2 x 7.6 x 0.9 cm,16.2,7.6,0.9
15.9 x 0.7 x 7.4 cm,15.9,0.7,7.4
15.8 x 0.8 x 7.3 cm,15.8,0.8,7.3
16.1 x 7.4 x 0.8 cm,16.1,7.4,0.8
15.5 x 7.5 x 0.8 cm,15.5,7.5,0.8
14.4 x 1 x 7.4 cm,14.4,1,7.4
16.1 x 0.7 x 7.4 cm,16.1,0.7,7.4
15.8 x 0.8 x 7.5 cm,15.8,0.8,7.5
16.9 x 0.9 x 7.6 cm,16.9,0.9,7.6
16.9 x 7.5 x 0.8 cm,16.9,7.5,0.8
0.9 x 7.69 x 16.52 cm,0.9,7.69,16.52
10 x 5 x 5 cm,10,5,5
15.9 x 1 x 7.4 cm,15.9,1,7.4
15.9 x 7.4 x 0.8 cm,15.9,7.4,0.8
15.9 x 7.3 x 0.8 cm,15.9,7.3,0.8
0.8 x 7.4 x 16.7 cm,0.8,7.4,16.7
1.6 x 0.1 x 0.8 cm,1.6,0.1,0.8
15.9 x 0.8 x 7.3 cm,15.9,0.8,7.3
16.45 x 7.59 x 0.98 cm,16.45,7.59,0.98
0.77 x 7.32 x 15.86 cm,0.77,7.32,15.86
