id,special_feature
b431d451-2341-11ee-a94f-3c9c0f728f90,Dual Bluetooth Audio
b431d452-2341-11ee-b640-3c9c0f728f90,IR Blaster
b431d453-2341-11ee-8d29-3c9c0f728f90,IP 53 Certified
b431d454-2341-11ee-a868-3c9c0f728f90,33W Fast Charger in box
b431d455-2341-11ee-a590-3c9c0f728f90,Premium glass body design with Gorilla glass 5 on front and back
b431d456-2341-11ee-adee-3c9c0f728f90,Dual Stereo Speakers with Dolby Atmos support
b431d457-2341-11ee-ba57-3c9c0f728f90,Dual SIM
b431d458-2341-11ee-a5b2-3c9c0f728f90,Front Camera
b431d459-2341-11ee-9253-3c9c0f728f90,Dual_Sim
b431d45a-2341-11ee-94ea-3c9c0f728f90,Camera
b431d45b-2341-11ee-90ee-3c9c0f728f90,Fast Charging
b431d45c-2341-11ee-8f22-3c9c0f728f90,Fast Charging Support
b431d45d-2341-11ee-a94b-3c9c0f728f90,Fingerprint Sensor
b431d45e-2341-11ee-a743-3c9c0f728f90,Smartphone
b431d45f-2341-11ee-adc3-3c9c0f728f90,Infrared
b431d460-2341-11ee-afa3-3c9c0f728f90,Accelerometer
b431d461-2341-11ee-8b45-3c9c0f728f90,Ambient light sensor
b431d462-2341-11ee-8eb1-3c9c0f728f90,Gyroscope
b431d463-2341-11ee-ab28-3c9c0f728f90,GPS
b431d464-2341-11ee-8925-3c9c0f728f90,Video Player
b431d465-2341-11ee-aa8a-3c9c0f728f90,Music Player
b431d466-2341-11ee-8b66-3c9c0f728f90,Proximity sensor
b431d467-2341-11ee-92e7-3c9c0f728f90,Light sensor
b431d468-2341-11ee-a18c-3c9c0f728f90,Acceleration sensor
b431d469-2341-11ee-b9a1-3c9c0f728f90,Other sensors
b431d46a-2341-11ee-8b76-3c9c0f728f90,Magnetic induction
b431d46b-2341-11ee-bd95-3c9c0f728f90,Fingerprint
b431d46c-2341-11ee-9dc1-3c9c0f728f90,Proximity Sensor
b431d46d-2341-11ee-932b-3c9c0f728f90,Serial_number
b431d46e-2341-11ee-aa77-3c9c0f728f90,Dual Camera
b431d46f-2341-11ee-8842-3c9c0f728f90,Rear Camera
